R0330,Whitechapel Station,2,51.519264,-0.058773
197,Rosebery Avenue,2,51.523041,-0.111661
3488,St Stephens Church,2,51.641931,-0.079525
8556,Bread Street,2,51.514193,-0.095021
331,Camden Road Station,1,51.542317,-0.137817
1156,City Thameslink Station,2,51.516479,-0.102881
14240,Wattisfield Road,2,51.559771,-0.051423
14529,Rabbits Road,1,51.552621,0.052981
20628,Holborn Circus / Fetter Lane,1,51.518041,-0.109433
14531,Seventh Avenue,1,51.553635,0.055681
1691,Sandall Road,1,51.545946,-0.132996
33325,Caledonian Road,1,51.555359,-0.118791
29735,Great Russell Street,1,51.518395,-0.128098
2045,The East London Mosque,2,51.517854,-0.064858
20674,Mile End Station,1,51.52536,-0.033891
R0078,Gray's Inn Road,1,51.521245,-0.114042
4825,Regents Canal,1,51.524352,-0.037062
14530,Rabbits Road,2,51.553046,0.054414
14639,Mornington Crescent Station,2,51.534067,-0.139279
129,Amhurst Road / Hackney Downs Station,2,51.548654,-0.058388
29844,Museum Street,1,51.517624,-0.124353
33924,Great Titchfield St / Oxford Circus Stn,2,51.515471,-0.139893
37122,Piccadilly Circus,2,51.509292,-0.136412
15192,Green Park Station,1,51.506677,-0.142816
1609,Alexandra Grove,1,51.567379,-0.100229
371,Old Town Hall,2,51.54053,0.001272
791,Islington Green,1,51.535772,-0.103132
BP2680,Bush Hill Road,2,51.637475,-0.080884
2018,Holborn Circus,1,51.517601,-0.106064
1278,Silverdale,2,51.530797,-0.138893
BP1379,Chapel Road,2,51.557304,0.067965
2238,Litchfield Avenue,1,51.542366,0.006429
29981,Bow Church,2,51.528451,-0.017134
1282,Murray Street,1,51.544134,-0.135565
2067,Abbey Lane,2,51.533786,-0.007242
4876,Woodgrange Road,2,51.546538,0.026848
R0757,Ilford Hill,1,51.558159,0.068941
8019,Stratford Centre,2,51.541234,0.002702
34717,Old Bond Street / Royal Academy,1,51.508074,-0.139589
R0325,Shrewsbury Road,2,51.548161,0.03954
33326,Hillmarton Road / H M Prison Holloway,1,51.553665,-0.122539
4826,Mile End Station,2,51.525365,-0.033098
20760,Stratford High St / Carpenters Road,2,51.53734,-0.002588
BP3912,Finsbury Park Station,1,51.563799,-0.106265
8558,Bank Station  / Cornhill,1,51.513379,-0.08756
BP833,Rowley Gardens,2,51.572989,-0.097355
33322,Holloway Road,1,51.556387,-0.116195
1472,Chancery Lane Station,1,51.518307,-0.112001
8586,King Edward Street,1,51.515728,-0.099814
783,Stannard Road,2,51.546148,-0.067797
FC41,Hainault Street,2,51.559431,0.075852
BP3536,St Martin's Place,1,51.509858,-0.127901
FC44,Chapel Road,1,51.557695,0.070262
BP4608,Manor House Station,1,51.572006,-0.09666
900,Bow Road Station,2,51.527352,-0.024001
BP842,Rowley Gardens,1,51.573004,-0.09721
8559,Bank Station  / Cornhill,2,51.513274,-0.087723
2009,Arcadian Gardens,2,51.605755,-0.111669
9989,Beresford Road,2,51.584041,-0.100127
3220,Argall Way,2,51.566001,-0.036755
989,Old Park Lane / Hard Rock Cafe,2,51.504277,-0.148
BP976,Stratford Bus Station,1,51.540954,-0.001954
BP5244,Aldgate East Station,2,51.514647,-0.073253
BP2167,Torrington Place,1,51.522916,-0.133016
20684,Mount Pleasant,2,51.524023,-0.111217
1692,Sandall Road,2,51.545527,-0.133849
10925,Cecil Road / St Annes School,2,51.649801,-0.080132
1157,City Thameslink Station,1,51.516897,-0.1037
10905,Green Dragon Lane,2,51.636178,-0.091228
9045,Green Street,1,51.547098,0.031935
1473,Brownlow Street,2,51.518093,-0.114879
348,Bow Church,1,51.52894,-0.016854
BP5485,Bloomsbury Way,1,51.518626,-0.121718
14456,New Oxford Street,1,51.516826,-0.127831
33683,Aldgate Station,2,51.514132,-0.074745
4839,Harringay Green Lanes Station,2,51.577149,-0.098812
14510,Margery Park Road,1,51.545828,0.020571
2648,Royal Oak Road,2,51.54642,-0.060329
1280,Camden High Street,2,51.536515,-0.140549
988,Green Park / Constitution Hill,1,51.503995,-0.147767
21,H M Prison Holloway,2,51.553284,-0.124011
14520,Shrewsbury Road,1,51.548363,0.039837
20932,High Road Leyton / Bakers Arms,2,51.574814,-0.013761
9991,Mattison Road,2,51.579999,-0.099343
34,Victoria Bus Station,2,51.496114,-0.143591
10919,Bush Hill,2,51.64426,-0.081118
